theme,video_short,video_id,video,comment_index,comment,source_file,manual_7_emotion,manual_3_sentiment,label_notes,annotation_source
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,1,🔐 This video was sponsored by our friends at NordPass! Use the code FPT at http://nordpass.com/fpt to get a free 3-month trial of NordPass Business. No credit card is required!,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,"metadata, sponsor, or link-heavy comment",assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,2,Apple: *hurriedly rushing to change intro music*,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,3,Apple's 2 hour long event summarized in 10 minutes,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,4,Toilet squad.,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,5,Those renders and animations are 🔥,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,6,That intro goes so hard,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,7,"Video nerds are the only ones that’ll appreciate this, but the softer warm lighting is SOOOO GOOD. So good!",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,8,"*John:* I don't know why I never get invited to the Apple events. 😂😂😂 *Me:* It doesn't matter, we love you brother.",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,9,"“Sweet 16,” but it’s actually the eighteenth iPhone event 😉",youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,10,Bro is GLOWING!!! 😂,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,11,"who needs an apple showcase event when you have jon fpt, the renders and presentation are actually amazing",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,12,"Wow, this is literally like watching an actual Apple keynote presentation and this is the highest compliment I can give.",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,13,"The way you introduced iPhone, it felt like I am watching official promo. Mind blowing",youtube_domain_training_comments_expanded_unlabeled.csv,surprise,positive,surprise cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,14,Almost word to word accurate,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,15,Jon with the intro: WooImmaBoutToMakeAnameForMyselfHere!,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,16,this is the most accurate rumor that turned to be true 😂,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,17,iPhone 16 introductory video before g̶t̶a̶ 6̶ iPhone 16 introductory video,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,18,Just watched this after watching the event... Incredible accuracy!!,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,19,Wow… you’ve outdone yourself. Great video!,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,20,Great intro..it was just like an apple production,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,21,"From one audio nerd to another, the audio engineering on this vid is fantastic. Also also a long time fpt viewer, this is top notch quality across the board. Great job Jern and Bern",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,22,I left another YouTube video when I got this notification so I could watch this one. It better be worth it,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,23,The accuracy is crazy,youtube_domain_training_comments_expanded_unlabeled.csv,surprise,positive,surprise cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,24,Jons Intro face turns me “not off”…….. I. E On,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,25,6.9 inches is the size of some small tablets tho🤣😭,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,26,2:27 wtf was that finger doing lmao,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,27,"This is the MOST normal/calm I’ve seen you in a video lol. While I enjoyed the video, I love the craziness sometimes 😂😂👌🏽",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,28,6.9 Inches... *Nice*,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,29,Bro it is so unreal seeing my own renderings and renderings I already know come to live with this incredible sound design and storytelling. It literally feels like watching an Apple Event,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,30,"I'm only 4 minutes into the video and Jon, well F'ing done! This video has cooked! The animations and renders are going so damn hard, literally feels like you've taken it from the keynote. BRAVO!!",youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,31,THAT 16 PRO REVEAL WAS A BANGER !!!!,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,32,Dang this video goes hard. Fantastic work.,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,33,"I don't know if FTP reads these comments, but one thing I would LOVE to see is Jon reacting to an apple event video and taking a sip of water every time the current presenter touches their hands together. Maybe doing a push up whenever they say ""intelligence""? something silly like that would be rad.",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,34,Love the lighting Jon! Aputure to the rescue!,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,35,Damn that intro,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,36,Innovation is totally dead.,youtube_domain_training_comments_expanded_unlabeled.csv,sadness,negative,sadness cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,37,THIS video finally got me excited about the 16 Pro,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,38,Anyone else thinking Apple is watching this like…dang…he stole our keynote?!,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,39,Saw it and clicked,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,40,Just another Apple marketer working for free.,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,41,your predictions were very accurate,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,42,You’re simply the best at what you do Jon. F**kin proud of you man.,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,43,4:01 Luv That Music,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,44,If I didn't listen to recycle bin I would've never guessed you were sick lol,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,45,Ok professional voice is what we re doing here,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,46,"This is Apple-level quality renders. Outstanding. Tip of the hat, FPT and AppleTrack.",youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,47,Can we please acknowledge the amount of work and filtering through the rumors to just make this quality kind of video ? Thanks Jon 👏🏼,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,48,60hz going into 2025 is a crime,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,49,Rewatched this after the official Apple event. Jon's presentation is more appealing. He sells the 16 pro better than Apple😅,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,50,The iPhone X design is still amazing till this day,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,51,This is exactly why I still watch you. The BEST iPhone 16 video period.,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,52,If Apple doesn’t have a folding phone I swear,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,53,He did the music too! Love it 😂😂😂,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,54,was it just me or did that look like the iPhone 15 Pro but with extra button and slightly (tiny wincy bit) larger screen size ;-),youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,55,ending was so good,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,56,A revival of the colourful polycarbonate shell on the SE would be cool!,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,57,That music was STRAIGHT FIRE 🔥🔥🔥,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,58,3:08 obviously,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,59,"Wow, look how different it looks 😂🙄",youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,60,0:09 That 16 PRO intro was 🔥,youtube_domain_training_comments_expanded_unlabeled.csv,joy,positive,positive appreciation or humor cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,61,Bro really decided to hold a mini apple event. All animations and story telling on point.,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,62,Holy crap. U are spot on….. still cant believe this video came out 5 days before official launch and still NAILED IT!!!,youtube_domain_training_comments_expanded_unlabeled.csv,neutral,neutral,no dominant affective cue,assistant_assisted_review
