text,label,label_id,sentiment,video_short,video,comment_index,label_notes
🔐 This video was sponsored by our friends at NordPass! Use the code FPT at http://nordpass.com/fpt to get a free 3-month trial of NordPass Business. No credit card is required!,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,1,"metadata, sponsor, or link-heavy comment"
Apple: *hurriedly rushing to change intro music*,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,2,no dominant affective cue
Apple's 2 hour long event summarized in 10 minutes,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,3,no dominant affective cue
That intro goes so hard,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,4,positive appreciation or humor cue
Those renders and animations are 🔥,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,5,positive appreciation or humor cue
Toilet squad.,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,6,no dominant affective cue
"Video nerds are the only ones that’ll appreciate this, but the softer warm lighting is SOOOO GOOD. So good!",joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,7,positive appreciation or humor cue
Almost word to word accurate,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,8,no dominant affective cue
"Wow, this is literally like watching an actual Apple keynote presentation and this is the highest compliment I can give.",joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,9,positive appreciation or humor cue
Bro is GLOWING!!! 😂,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,10,positive appreciation or humor cue
"The way you introduced iPhone, it felt like I am watching official promo. Mind blowing",surprise,6,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,11,surprise cue
this is the most accurate rumor that turned to be true 😂,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,12,positive appreciation or humor cue
iPhone 16 introductory video before g̶t̶a̶ 6̶ iPhone 16 introductory video,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,13,no dominant affective cue
"*John:* I don't know why I never get invited to the Apple events. 😂😂😂 *Me:* It doesn't matter, we love you brother.",joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,14,positive appreciation or humor cue
"“Sweet 16,” but it’s actually the eighteenth iPhone event 😉",neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,15,no dominant affective cue
"who needs an apple showcase event when you have jon fpt, the renders and presentation are actually amazing",joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,16,positive appreciation or humor cue
Just watched this after watching the event... Incredible accuracy!!,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,17,positive appreciation or humor cue
Jon with the intro: WooImmaBoutToMakeAnameForMyselfHere!,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,18,no dominant affective cue
The accuracy is crazy,surprise,6,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,19,surprise cue
Great intro..it was just like an apple production,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,20,positive appreciation or humor cue
Wow… you’ve outdone yourself. Great video!,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,21,positive appreciation or humor cue
"From one audio nerd to another, the audio engineering on this vid is fantastic. Also also a long time fpt viewer, this is top notch quality across the board. Great job Jern and Bern",joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,22,positive appreciation or humor cue
"I don't know if FTP reads these comments, but one thing I would LOVE to see is Jon reacting to an apple event video and taking a sip of water every time the current presenter touches their hands together. Maybe doing a push up whenever they say ""intelligence""? something silly like that would be rad.",joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,23,positive appreciation or humor cue
I left another YouTube video when I got this notification so I could watch this one. It better be worth it,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,24,positive appreciation or humor cue
THAT 16 PRO REVEAL WAS A BANGER !!!!,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,25,no dominant affective cue
"This is the MOST normal/calm I’ve seen you in a video lol. While I enjoyed the video, I love the craziness sometimes 😂😂👌🏽",joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,26,positive appreciation or humor cue
"This is Apple-level quality renders. Outstanding. Tip of the hat, FPT and AppleTrack.",neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,27,no dominant affective cue
Jons Intro face turns me “not off”…….. I. E On,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,28,no dominant affective cue
Just another Apple marketer working for free.,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,29,no dominant affective cue
Saw it and clicked,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,30,no dominant affective cue
Dang this video goes hard. Fantastic work.,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,31,positive appreciation or humor cue
6.9 inches is the size of some small tablets tho🤣😭,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,32,positive appreciation or humor cue
THIS video finally got me excited about the 16 Pro,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,33,no dominant affective cue
2:27 wtf was that finger doing lmao,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,34,no dominant affective cue
Love the lighting Jon! Aputure to the rescue!,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,35,positive appreciation or humor cue
Can we please acknowledge the amount of work and filtering through the rumors to just make this quality kind of video ? Thanks Jon 👏🏼,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,36,positive appreciation or humor cue
Bro it is so unreal seeing my own renderings and renderings I already know come to live with this incredible sound design and storytelling. It literally feels like watching an Apple Event,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,37,positive appreciation or humor cue
your predictions were very accurate,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,38,no dominant affective cue
60hz going into 2025 is a crime,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,39,no dominant affective cue
Ok professional voice is what we re doing here,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,40,no dominant affective cue
Anyone else thinking Apple is watching this like…dang…he stole our keynote?!,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,41,no dominant affective cue
"I'm only 4 minutes into the video and Jon, well F'ing done! This video has cooked! The animations and renders are going so damn hard, literally feels like you've taken it from the keynote. BRAVO!!",neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,42,no dominant affective cue
Damn that intro,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,43,no dominant affective cue
That music was STRAIGHT FIRE 🔥🔥🔥,joy,3,positive,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,44,positive appreciation or humor cue
6.9 Inches... *Nice*,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,45,no dominant affective cue
