theme,video_short,query,selection_reason,video_id,url,title,channel,published_at,view_count,comment_count,fetched_comments,sample_comment
beauty_brand_campaign,beauty_brand_campaign,Dove Real Beauty Sketches official campaign,"Beauty brand campaign; likely joy, sadness, neutral, and self-image discussion.",z2T-Rh838GA,https://www.youtube.com/watch?v=z2T-Rh838GA,Reverse Selfie: Social Media's Impact on Girls' Self-Esteem | Dove,Dove US,2021-04-20,3571461,873,100,This made me cry. I’m 19 years old and I wish so badly I hadn’t grown up with social media. It ruined my self esteem and I became so good at editing pictures and doing makeup and loosing weight. as women we are diminished to our appearance and only our appearance. I wish I could go back and time and take my phone away.
classic_brand_ad,classic_brand_ad,Old Spice The Man Your Man Could Smell Like official commercial,"Classic humorous ad; likely joy, surprise, and brand nostalgia.",owGykVbfgUE,https://www.youtube.com/watch?v=owGykVbfgUE,Old Spice | The Man Your Man Could Smell Like,Old Spice,2010-02-05,63279517,26961,100,"""Sadly, he isn't me"" Instant divorce"
automotive_brand_ad,automotive_brand_ad,Volvo Trucks The Epic Split official,"Automotive brand ad; likely surprise, joy, and admiration.",M7FIvfx5J10,https://www.youtube.com/watch?v=M7FIvfx5J10,Volvo Trucks - The Epic Split feat. Van Damme,Volvo Trucks,2013-11-14,127762191,65504,100,This is better than all the lame 2026 Superbowl commercials.
sports_brand_purpose,sports_brand_purpose,Nike Dream Crazy official ad Colin Kaepernick,"Brand purpose campaign; likely joy, anger, surprise, and polarized brand discussion.",jBnseji3tBk,https://www.youtube.com/watch?v=jBnseji3tBk,KAEPERNICK NIKE AD:  New ad featuring former San Francisco 49ers QB Colin Kaepernick,KPIX | CBS NEWS BAY AREA,2018-09-05,592649,269,100,Pov: your here for an assignment
tech_brand_story,tech_brand_story,Google Parisian Love official ad,Technology brand storytelling; likely joy and emotional response.,nnsSUqgkDwU,https://www.youtube.com/watch?v=nnsSUqgkDwU,Parisian Love,Google,2009-11-19,8616809,4065,100,Here because of Atrioc the coffee cow
controversial_brand_purpose,controversial_brand_purpose,Gillette We Believe official ad,"Controversial brand purpose campaign; likely anger, disgust, joy, and neutral debate.",UYaY2Kb_PKI,https://www.youtube.com/watch?v=UYaY2Kb_PKI,Gillette's 'We believe: the best men can be' razors commercial takes on toxic masculinity,Guardian News,2019-01-15,5373350,26909,100,For more context on this video: https://www.theguardian.com/world/2019/jan/15/gillette-metoo-ad-on-toxic-masculinity-cuts-deep-with-mens-rights-activists https://www.theguardian.com/commentisfree/2019/jan/16/men-masculinity-gillette-advertisement https://www.theguardian.com/media/2019/jan/16/gillette-ad-mens-rights-activists-woke-marketing https://www.theguardian.com/commentisfree/2019/jan/15/gillette-ad-not-pc-guff-piers-morgan-macho-stereotype-boys https://www.theguardian.com/media/2019/jan/19/gillette-ad-campaign-woke-advertising-salving-consciences
fast_food_brand_launch,fast_food_brand_launch,McDonald's Grimace Shake official commercial,"Fast-food brand launch; likely joy, surprise, humor, and neutral discussion.",chYLHu0w8z0,https://www.youtube.com/watch?v=chYLHu0w8z0,Grimace Shake McDonald's ad 2023,Hobo Hobo,2023-06-28,9389902,5891,100,"The voice acting is oddly real and genuine, invoking a sense of terror and odd sympathy that I never thought I’d feel for a McDonald’s character. Well done!"
gaming_product_launch,gaming_product_launch,PlayStation 5 reveal trailer official,"Gaming product launch; likely joy, surprise, anger, and brand comparison.",RkC0l4iekYo,https://www.youtube.com/watch?v=RkC0l4iekYo,PS5 Hardware Reveal Trailer,PlayStation,2020-06-11,45277581,137779,100,Everyone: So what’s the price? Sony: It looks cool right?
streaming_trailer_reaction,streaming_trailer_reaction,Netflix Wednesday official trailer,"Entertainment marketing trailer; likely joy, surprise, neutral, and fandom reactions.",Di310WS8zLk,https://www.youtube.com/watch?v=Di310WS8zLk,Wednesday Addams | Official Teaser | Netflix,Netflix,2022-08-17,29942959,15997,100,If they don’t release this on Wednesdays they’ve missed a trick.
app_brand_campaign,app_brand_campaign,Duolingo official commercial campaign,"App brand campaign; likely joy, surprise, and humor.",Ew4kM1FmM8o,https://www.youtube.com/watch?v=Ew4kM1FmM8o,Introducing Duolingo Adventures,Duolingo,2024-09-24,2877497,1489,100,"I like how they say ""without pressure"" like an oversized green owl isn't holding me at gunpoint."
