theme,video_short,video_id,url,title,channel,published_at,view_count,comment_count,fetched_comments,selection_reason
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,Introducing iPhone 16 Pro,fpt.,2024-09-05,721026,1252,50,"Product launch comments; likely neutral, joy, surprise, and brand comparison."
tech_review_mixed,tech_review_mixed,XkXbkxtBlwY,https://www.youtube.com/watch?v=XkXbkxtBlwY,Samsung Galaxy S25 Ultra full review,GSMArena Official,2025-02-04,1060311,765,50,"Review comments; useful for product evaluation, comparison, and mixed sentiment."
automotive_controversy,automotive_controversy,ro262oyhZAI,https://www.youtube.com/watch?v=ro262oyhZAI,Here's Why the Tesla Cybertruck is the Biggest POS Ever Made,Scotty Kilmer,2026-05-15,320004,3562,50,"Controversial product review; likely anger, disgust, neutral debate."
brand_campaign_positive,brand_campaign_positive,ijTwZNUBhcI,https://www.youtube.com/watch?v=ijTwZNUBhcI,INSPIRATIONAL NIKE AD.flv,foquemon,2011-01-02,987287,405,50,Inspirational brand campaign; likely joy and positive brand association.
food_beverage_ad,food_beverage_ad,Yy6fByUmPuE,https://www.youtube.com/watch?v=Yy6fByUmPuE,Coca-Cola | Holidays Are Coming,Coca-Cola,2025-11-03,2691660,12107,50,"Classic holiday brand ad; likely joy, nostalgia, positive sentiment."
fast_food_brand,fast_food_brand,79phlhutGLg,https://www.youtube.com/watch?v=79phlhutGLg,Self Control Who I McDonald's,McDonald's,2023-09-18,822817,234,50,Fast food brand commercial; useful for nostalgic and brand-specific reactions.
beauty_campaign,beauty_campaign,JNYjRmNCu9o,https://www.youtube.com/watch?v=JNYjRmNCu9o,Dove #RealBeauty Is Universal | Celebrate all types of beauty,Dove PH,2017-01-30,689112,86,50,"Social/beauty campaign; likely joy, sadness, surprise, and identity-related comments."
movie_trailer_joy,movie_trailer_joy,LEjhY15eCx0,https://www.youtube.com/watch?v=LEjhY15eCx0,Inside Out 2 | Official Trailer,Pixar,2024-03-07,68913649,17866,50,"Entertainment trailer; likely joy, surprise, anticipation."
entertainment_fandom,entertainment_fandom,TcMBFSGVi1c,https://www.youtube.com/watch?v=TcMBFSGVi1c,Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,2019-03-14,167048812,261700,50,"Large fandom trailer; strong joy, sadness, nostalgia, excitement."
brand_crisis_negative,brand_crisis_negative,JVxCp22WatU,https://www.youtube.com/watch?v=JVxCp22WatU,Customer sees McDonald's worker apparently drying lamp under food heat lamps 🤮,Eyewitness News ABC7NY,2024-05-21,4740185,19725,50,"Customer-facing brand crisis/news; likely anger, disgust, and negative sentiment."
