video_short,video,video_id,comment_index,comment,manual_7_emotion,manual_3_sentiment,label_notes,source_file,annotation_source
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,1,🔐 This video was sponsored by our friends at NordPass! Use the code FPT at http://nordpass.com/fpt to get a free 3-month trial of NordPass Business. No credit card is required!,neutral,neutral,"metadata, sponsor, or link-heavy comment",youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,2,Apple: *hurriedly rushing to change intro music*,neutral,neutral,no dominant affective cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,3,Apple's 2 hour long event summarized in 10 minutes,neutral,neutral,no dominant affective cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,4,That intro goes so hard,joy,positive,positive appreciation or humor cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,5,Those renders and animations are 🔥,joy,positive,positive appreciation or humor cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,6,Toilet squad.,neutral,neutral,no dominant affective cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,7,"Video nerds are the only ones that’ll appreciate this, but the softer warm lighting is SOOOO GOOD. So good!",joy,positive,positive appreciation or humor cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,8,Almost word to word accurate,neutral,neutral,no dominant affective cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,9,"Wow, this is literally like watching an actual Apple keynote presentation and this is the highest compliment I can give.",joy,positive,positive appreciation or humor cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,10,Bro is GLOWING!!! 😂,joy,positive,positive appreciation or humor cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,11,"The way you introduced iPhone, it felt like I am watching official promo. Mind blowing",surprise,positive,surprise cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,12,this is the most accurate rumor that turned to be true 😂,joy,positive,positive appreciation or humor cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,13,iPhone 16 introductory video before g̶t̶a̶ 6̶ iPhone 16 introductory video,neutral,neutral,no dominant affective cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,n6pqGoXWZzo,14,"*John:* I don't know why I never get invited to the Apple events. 😂😂😂 *Me:* It doesn't matter, we love you brother.",joy,positive,positive appreciation or humor cue,youtube_domain_training_comments_unlabeled.csv,assistant_assisted_review
