text,label,label_id,sentiment,video_short,video,comment_index,label_notes
"Seeing this campaign as an elder brother stirred up a lot of feelings 💔. I’ve watched my younger sister struggle with the weight of beauty standards—she’s always checking her reflection, worried about looking “perfect” like the people she sees online. Just like the girl in this video, she feels pressured to edit every photo, hiding behind filters to feel like she’s enough. There have been so many times when she gets anxious about stepping out without makeup, convinced she needs it to be “presentable.”",fear,2,negative,beauty_brand_campaign,https://www.youtube.com/watch?v=z2T-Rh838GA,8,fear or safety cue
standing at the side of it while it gonna explode is wild,surprise,6,negative,surprise_product_fail,https://www.youtube.com/watch?v=8H6jz30Im_Y,89,product-failure surprise cue
Next season of Forensic Files is gonna be lit,neutral,4,neutral,sadness_brand_story,https://www.youtube.com/watch?v=YvYGO4o334I,46,no dominant affective cue
"Hope she's fired, this isn't the 1st time, it's her 1st time getting caught, that's why I don't eat fast food",disgust,1,negative,brand_crisis_negative,https://www.youtube.com/watch?v=JVxCp22WatU,77,brand-crisis hygiene or safety concern
"Copy & past in Grok or Gemini. Ask it to consider each point without mainstream science concensus. Some one does not want us to know the truth. Phaeton Protocol: Forensic Summary January 5, 2026 – Matthew Lee Hanson 1. Zero Hour 2.8 AU. Phaeton—5 Earth-mass, water-rich—detonates. 97% mass escapes solar system. 3% becomes asteroid belt. 0.01% captured: Earth, Mars, Saturn. 2. Earth Accretion 10²¹ kg slurry hits in 40 days. Crust expands 55%. Orbit: 360 → 365.24 days. Angular momentum drop = 25 × 10¹⁸ J. 3. Gravity Tax Δg = 0.1 m/s². Megafauna bones snap. Pterosaurs grounded. Lifespan clocks reset—radiation pulse. 4. Cam-Pump Core Eccentric core rotates. Mantle pulses. Mid-ocean ridges unzip. Hawaiian kink: 60° bend in 200 kyr—plate tectonics can’t do that. 5. Chemical Receipts Oil: Helium-3, diamondoids, C¹³ spike—matches meteorites, not fossils. Coal: pure carbon seams, no biology. Salt domes: 98% NaCl—distilled in space, not seas. 6. Global Clock Ten cultures, 360-day year, simultaneous shift. Probability: 1 in 10¹⁷. Not coincidence. 7. Ice Core Spike Platinum, nanodiamonds—Phaeton ejecta—12,900 BP. 8. Manna Butlerov Reaction in high-pressure sky. Organic condensate. Melted at dawn. Logged worldwide: Ambrosia, Amrita, Honey-Dew. 9. The Dip Indian Ocean geoid low? Low-density plume—Phaeton’s foam—still rising. Δg = –G m / r² m ≈ 2.3 × 10²³ kg. Gravity fails where the corpse floats.",neutral,4,neutral,surprise_launch_reaction,https://www.youtube.com/watch?v=4qGw9WH4Xj8,53,"metadata, sponsor, or link-heavy comment"
"who's here because school gave this link to us? good to know....cause, ""I'm on a horse""",joy,3,positive,classic_brand_ad,https://www.youtube.com/watch?v=owGykVbfgUE,90,positive appreciation or humor cue
I hope that man sues the heck out of united airlines,anger,0,negative,anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,37,airline brand-crisis criticism
"Dude I had to search this just so I could re-watch it, I honestly thought it was an SNL skit.... This is advertising at its purest form.... I love you guys just for this... Bravo!",joy,3,positive,sadness_brand_story,https://www.youtube.com/watch?v=YvYGO4o334I,14,positive appreciation or humor cue
"It is in the millions, I'm in Texas and mine blocked at 12:06 CST",anger,0,negative,anger_customer_service,https://www.youtube.com/watch?v=MUo3n8QSQLE,85,customer-service outage criticism
The worst part is it's actually one of the managers that are doing it not just a regular employee,anger,0,negative,brand_crisis_negative,https://www.youtube.com/watch?v=JVxCp22WatU,7,brand-crisis criticism
Love meee,joy,3,positive,surprise_launch_reaction,https://www.youtube.com/watch?v=4qGw9WH4Xj8,46,positive appreciation or humor cue
It is now 2025 and I am continuing the legacy of calling this the best commercial of all time.,joy,3,positive,automotive_brand_ad,https://www.youtube.com/watch?v=M7FIvfx5J10,17,positive appreciation or humor cue
"So he wants to learn about France. He meets a cute girl. She says she likes him. Then he wants to impress her. They get into a relation ship. He goes back. Then he wants to know how to manage a long distance relation ship. Instead, he moves to where she lives. They get married, and have a baby.",joy,3,positive,tech_brand_story,https://www.youtube.com/watch?v=nnsSUqgkDwU,86,positive appreciation or humor cue
"That’s the manager also, what the hell is she thinking? Why is she doing that?",neutral,4,neutral,brand_crisis_negative,https://www.youtube.com/watch?v=JVxCp22WatU,41,no dominant affective cue
"Fun fact: For those who haven't tried it and are scared to, Its a mix of vanilla shake and berries, specifically Red raspberry, strawberry and blueberry. Barely escaped with my life after drinking it.",fear,2,negative,fast_food_brand_launch,https://www.youtube.com/watch?v=chYLHu0w8z0,23,fear or safety cue
Back to watch this legendary reveal trailer after watching the ps5 pro reveal. Love the chooper sound when the PS5 digital edition is revealed.,joy,3,positive,gaming_product_launch,https://www.youtube.com/watch?v=RkC0l4iekYo,60,positive appreciation or humor cue
“None of us can go back” That hits different now.,neutral,4,neutral,entertainment_fandom,https://www.youtube.com/watch?v=TcMBFSGVi1c,2,no dominant affective cue
Recommend this 6 years ago..,neutral,4,neutral,entertainment_fandom,https://www.youtube.com/watch?v=TcMBFSGVi1c,52,no dominant affective cue
I come back to this now and again when Im about to book a United Flight.,neutral,4,neutral,anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,100,no dominant affective cue
Hope this company flies straight in the trash,anger,0,negative,anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,14,negative criticism cue
"I am from India. I was smoking for many many years but somehow managed to quit. Really feeling healthy & happy. Also I can walk faster, breath easier, sleep better etc.",fear,2,negative,fear_health_warning,https://www.youtube.com/watch?v=5zWB4dLYChM,17,health-warning fear cue
"“911, what is your emergency?” “My phone is explo-“",neutral,4,neutral,surprise_product_fail,https://www.youtube.com/watch?v=8H6jz30Im_Y,35,no dominant affective cue
That bit with the sar-chasm is absolutely brilliant,joy,3,positive,movie_trailer_joy,https://www.youtube.com/watch?v=LEjhY15eCx0,50,positive appreciation or humor cue
This.... is a masterpiece,joy,3,positive,fast_food_brand_launch,https://www.youtube.com/watch?v=chYLHu0w8z0,88,positive appreciation or humor cue
