text,label,label_id,sentiment,video_short,video,comment_index,label_notes
The health department needs to shut it down!!,anger,0,negative,brand_crisis_negative,https://www.youtube.com/watch?v=JVxCp22WatU,11,"Expresses strong demand for action, implying frustration."
I would rather drive the OG Nissan leaf over this abomination,disgust,1,negative,automotive_controversy,https://www.youtube.com/watch?v=ro262oyhZAI,31,Expresses strong dislike and rejection of the subject.
Teared up after watching this,sadness,5,negative,fear_health_warning,https://www.youtube.com/watch?v=X4k12miYJ4M,166,"Expresses crying, indicating sadness."
Thailand...you’re making us cry again...,sadness,5,negative,sadness_psa,https://www.youtube.com/watch?v=iVrQqWIs6ZE,100,Expresses sadness and emotional impact from Thailand.
Damm she was beautiful,sadness,5,negative,fear_health_warning,https://www.youtube.com/watch?v=X4k12miYJ4M,98,"Past tense 'was' implies loss, expressing sadness."
I'm actually just as surprised as he is. That was actually good.,surprise,6,positive,fear_public_safety,https://www.youtube.com/watch?v=0ygLvFG9QsA,52,Expresses surprise and positive evaluation of something good.
ThAT TIME WHEN THE DAD LOSES HIS JOB MAKES ME CRY,sadness,5,negative,sadness_psa,https://www.youtube.com/watch?v=O15dxrBNuAQ,35,Expresses sadness about a father losing his job.
I want to give her a big hug,sadness,5,positive,fear_health_warning,https://www.youtube.com/watch?v=5zWB4dLYChM,88,"Expresses empathy and care, implying sadness for someone's situation."
Still no service,neutral,4,negative,anger_customer_service,https://www.youtube.com/watch?v=MUo3n8QSQLE,28,Expresses dissatisfaction about lack of service.
Looks like we’re gonna get to see how Riley’s mind actually works! I can’t believe all of the new emotions are suppressing the older ones!!!,surprise,6,positive,movie_trailer_joy,https://www.youtube.com/watch?v=LEjhY15eCx0,135,Excited anticipation and disbelief about new emotions suppressing old ones.
Rest in peace :(,sadness,5,negative,fear_health_warning,https://www.youtube.com/watch?v=X4k12miYJ4M,241,Expression of grief and condolence with crying emoji
"i love my dady so so much 😭 don't leave me, dad😭😭",sadness,5,negative,sadness_psa,https://www.youtube.com/watch?v=vgain-EQdt0,193,"Expresses fear of loss and sadness despite love, crying emojis indicate sorrow."
He need to sell that big a$$ chain and pay for repairs/upgrades 😮,surprise,6,negative,disgust_food_safety,https://www.youtube.com/watch?v=xPGCrRRFWBk,47,Expresses shock at the chain's cost and suggests selling it for repairs.
"Wow, this made me cry.",sadness,5,negative,sadness_psa,https://www.youtube.com/watch?v=B2rFTbvwteo,48,"Comment explicitly states crying, indicating sadness."
Maybe telling your customers that they are bad deplorable people isn't such a good idea,anger,0,negative,disgust_brand_backlash,https://www.youtube.com/watch?v=8lXBs2Wy1OU,35,"Criticizes company's insulting behavior towards customers, expressing disapproval."
