text,label,label_id,sentiment,video_short,video,comment_index,label_notes
"""Looking for volunteers"", ""he wouldn't leave his seat voluntarily....."" W H U T",surprise,6,negative,anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,79,Expresses disbelief and confusion at contradictory statements.
“There was evidence of an employee smoking in the kitchen area” - that’s every single authentic Chinese restaurant in the world,joy,3,positive,disgust_food_safety,https://www.youtube.com/watch?v=--OnclX8yac,57,"Humorous observation about Chinese restaurants, playful tone."
Woke parameters? Sounds like censorship!,anger,0,negative,surprise_launch_reaction,https://www.youtube.com/watch?v=4qGw9WH4Xj8,94,Accusation of censorship implies frustration and distrust.
"Footage in the hospital was filmed on September 14th, 2013. It was on a Saturday afternoon.",neutral,4,neutral,fear_health_warning,https://www.youtube.com/watch?v=X4k12miYJ4M,66,Factual statement with no emotional content.
I have a car crash my dad was driving I was in back and I'm with my big sis my my big sis didn't make it 😢😢😢😢😢❤❤❤ 😭😭😭😭,sadness,5,negative,fear_public_safety,https://www.youtube.com/watch?v=3Twl1soaBJM,227,Expresses grief over sister's death with crying emojis.
Just reminded me on July 31st 2023 8:09 when me and my grandpa were in a car and a drunk driver smashed into us and my grandpa died and I was hurt,sadness,5,negative,fear_public_safety,https://www.youtube.com/watch?v=3Twl1soaBJM,50,Comment recounts a traumatic memory of losing a grandparent in a car accident.
"My little sister got sick from chipotle. She had all the same symptoms that the people were having. (It was the more recent ones, not Ecoli) My stomach was hurting, and so was my dad’s. We have never gone back again. Although I liked it, it was a healthier thing to do.",sadness,5,negative,disgust_food_safety,https://www.youtube.com/watch?v=zBXAJV82744,7,Recounts a negative experience of illness and avoidance of a previously liked place.
keep up the good work,joy,3,positive,disgust_food_safety,https://www.youtube.com/watch?v=dhBxrfETXJA,194,Encouraging and supportive tone.
"In Virginia, received and made one call. Now says I am not on a registered network. Ok.",neutral,4,neutral,anger_customer_service,https://www.youtube.com/watch?v=oZRywTkhwrA,10,"Factual statement about a phone issue, no strong emotion."
“the only person who gets to torture my brother is me.” i felt that lmao,joy,3,positive,streaming_trailer_reaction,https://www.youtube.com/watch?v=Di310WS8zLk,10,"Amused by the quote, expressed with 'lmao' indicating laughter."
that was rediculously adorable!!!!,joy,3,positive,tech_brand_story,https://www.youtube.com/watch?v=nnsSUqgkDwU,105,Expresses delight and amusement at something cute.
dang pepsi 😒👎,disgust,1,negative,disgust_brand_backlash,https://www.youtube.com/watch?v=GNOu1Se6dYE,197,Emoji shows disapproval and dislike for Pepsi.
"Good job Dove. Very clever and strategic. Play on human emotions to sell your own beauty products. By the look of the comments I see it's working quite well. However it in no way takes away from the message, but still great marketing. Someone deserves a promotion.",neutral,4,neutral,beauty_brand_campaign,https://www.youtube.com/watch?v=z2T-Rh838GA,85,Mixed tone: acknowledges marketing strategy but also praises message.
"I used to love United and fly to US cities without flying Japan Airlines or All Nippon Airways from Tokyo, but it is just hard to believe any airline company would possibly do something like this to a passenger. How could any airline company possibly treat a passenger like he committed a crime or something. I will never fly United. I just can't fly such a violent carrier.",anger,0,negative,anger_brand_crisis,https://www.youtube.com/watch?v=WEw-GjTriIo,86,Expresses disbelief and outrage at United's treatment of a passenger.
"I would understand that they had to take some people off, but not a doctor. This is sick.",anger,0,negative,anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,115,"Expresses outrage at removing a doctor, calling it 'sick'."
If only Morgan Freeman made the speech..,sadness,5,negative,brand_campaign_positive,https://www.youtube.com/watch?v=ijTwZNUBhcI,22,Expresses regret or disappointment about Morgan Freeman not giving the speech.
SOS — Rihanna,neutral,4,neutral,anger_customer_service,https://www.youtube.com/watch?v=T8ClHGY08jc,217,"Comment is just a song title, no emotional content."
