theme,video_short,video_id,url,title,channel,published_at,view_count,comment_count,fetched_comments,englishish_ratio,selection_reason,sample_comment
anger_brand_crisis,anger_brand_crisis,VrDWY6C1178,https://www.youtube.com/watch?v=VrDWY6C1178,Video shows a passenger forcibly dragged off a United Airlines plane,Business Insider,2017-04-10,5344931,13444,50,1.0,Brand crisis/news context; likely anger and negative reactions.,"You board as a doctor, you leave as a patient. -*United Airlines*"
anger_customer_service,anger_customer_service,MUo3n8QSQLE,https://www.youtube.com/watch?v=MUo3n8QSQLE,Verizon outage affecting thousands of customers,ABC News,2026-01-14,92812,656,50,1.0,Customer service failure; likely anger and frustration.,Nationwide.....it's in the millions. Lying isn't helping Verizon 😒.
fear_public_safety,fear_public_safety,O8MQV40pOtk,https://www.youtube.com/watch?v=O8MQV40pOtk,Manifesto - Texting While Driving,USDOTNHTSA,2016-04-02,374321,197,50,1.0,"Public-safety PSA; likely fear, sadness, and concern.","The only time when your Mom says, ""It's because of the stupid phone."" Is actually the cause of the problem"
fear_health_warning,fear_health_warning,5zWB4dLYChM,https://www.youtube.com/watch?v=5zWB4dLYChM,CDC: Tips From Former Smokers - Terrie H.’s Tip Ad,Centers for Disease Control and Prevention (CDC),2012-03-15,12957983,2050,50,1.0,Health warning campaign; likely fear and disgust.,"Terri and I graduated from Forbush High School, Class of 1978. While Terri was beautiful, energetic and a kind person in high school, I will always remember her for her courage in her battle against cancer and for the numerous lives she touched and those saved through her ad campaigns via the CDC. Terri lost her long battle with cancer on Monday, September 16, 2013. Her family and friends will miss her loving spirit. Thank you for all you did to eradicate smoking. It was not in vain. RIP Terri."
sadness_psa,sadness_psa,B2rFTbvwteo,https://www.youtube.com/watch?v=B2rFTbvwteo,'Mistakes' (New Zealand road safety advert),Los Hooligun,2014-01-08,546921,397,50,1.0,Emotional PSA; likely sadness and fear.,"I like how none of them is really shown as a bad person, it's just saying that mistakes can be made and accidents happen. Always pay attention to side streets you're approaching and slow down if there's a car there looking like it's going to turn out of it (or if there's a car there at all)."
sadness_brand_story,sadness_brand_story,YvYGO4o334I,https://www.youtube.com/watch?v=YvYGO4o334I,Ladder - Life Insurance So Good You Might Wish You Didn't Have It,Ladder,2021-10-12,2777592,496,50,0.98,Emotional branded story; likely sadness and joy.,Never thought I'd see the day an actual insurance company would make a joke about killing someone on purpose. Bravo.
surprise_product_fail,surprise_product_fail,8H6jz30Im_Y,https://www.youtube.com/watch?v=8H6jz30Im_Y,Note 7 #alert#alertnotification#overheating#note7#Samsung#stinkyturtle2#phone #Android#iPhone#Apple,Stinkyturtle2,2024-02-07,6972862,11215,50,1.0,"Product failure news; likely surprise, anger, and fear.","""911 what is your emergency?"" ""BOOM!"""
surprise_launch_reaction,surprise_launch_reaction,4qGw9WH4Xj8,https://www.youtube.com/watch?v=4qGw9WH4Xj8,Why Grok Outshines ChatGPT and Gemini in AI Conversations,kokinclips,2024-11-10,516036,320,50,1.0,Product/AI launch reaction; likely surprise and neutral curiosity.,Now we have a left and a right AI bot 🤷🏻‍♀️
disgust_food_safety,disgust_food_safety,--OnclX8yac,https://www.youtube.com/watch?v=--OnclX8yac,Inspectors find 110 violations at China Buffet,WPLG Local 10,2018-04-06,15386570,28461,50,1.0,Food-safety issue; likely disgust and anger.,Wtf Its this thing doing in my fyp 8 years later?
disgust_brand_backlash,disgust_brand_backlash,zFm9FRxi0ZM,https://www.youtube.com/watch?v=zFm9FRxi0ZM,Kendall Jenner Pepsi Ad Spurs Controversy | TODAY,TODAY,2017-04-05,228889,208,50,1.0,"Brand backlash; likely disgust, anger, and surprise.","""We're here to fight the evil corporate capitalists"" ""oh ...and Pepsi is here too"""
