theme,video_short,video_id,video,comment_index,comment,source_file,manual_7_emotion,manual_3_sentiment,label_notes,annotation_source
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,108,Jeez that sound design! Love it,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses admiration and love for the sound design.,deepseek_v4pro_ai_labeling
surprise_launch_reaction,surprise_launch_reaction,4qGw9WH4Xj8,https://www.youtube.com/watch?v=4qGw9WH4Xj8,7,"I just tried it, Elon is lying.",youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Accusation of lying indicates distrust and anger.,deepseek_v4pro_ai_labeling
surprise_product_fail_more,surprise_product_fail,LMWwImDX3ks,https://www.youtube.com/watch?v=LMWwImDX3ks,179,"This makes me think of when Howard Stark showed off his flying car concept and the demonstration also failed. The window cracked and he's like ""eh not bad..room for improvement"".",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Amused comparison to a humorous scene, finding it funny.",deepseek_v4pro_ai_labeling
anger_brand_crisis_more,anger_brand_crisis,yJTaGf5zURQ,https://www.youtube.com/watch?v=yJTaGf5zURQ,40,"Oh my god, the Negan one has me crying 😂😂",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Laughter and crying emojis indicate joyful amusement.,deepseek_v4pro_ai_labeling
anger_brand_crisis_more,anger_brand_crisis,1PA0geOa4PM,https://www.youtube.com/watch?v=1PA0geOa4PM,28,"Maybe the employees respondsible for over booking should be punished, INSTEAD of the passengers??????",youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Expresses anger at employees and demands punishment, with aggressive tone.",deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,vgain-EQdt0,https://www.youtube.com/watch?v=vgain-EQdt0,151,I trying to control my tears but I failed after watching ending,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,Expresses inability to hold back tears due to emotional ending.,deepseek_v4pro_ai_labeling
disgust_brand_crisis_more,brand_crisis_negative,kQg2LMmpPn8,https://www.youtube.com/watch?v=kQg2LMmpPn8,40,They know I have OCD too. This makes me hate MCD'd even more,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Expresses hatred towards MCD'd, indicating anger.",deepseek_v4pro_ai_labeling
beauty_brand_campaign,beauty_brand_campaign,z2T-Rh838GA,https://www.youtube.com/watch?v=z2T-Rh838GA,3,Dove always got me crying by the end of their ads,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,"Comment expresses crying, indicating sadness from ads.",deepseek_v4pro_ai_labeling
anger_brand_backlash,disgust_brand_backlash,GNOu1Se6dYE,https://www.youtube.com/watch?v=GNOu1Se6dYE,242,Everyone's offended by fucking everything get over it,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Frustration and annoyance at perceived oversensitivity.,deepseek_v4pro_ai_labeling
fear_health_warning_more,fear_health_warning,EkkOTplBCmA,https://www.youtube.com/watch?v=EkkOTplBCmA,28,"The secondhand smoke is so annoying. My sister smokes and every time I tell her to not smoke in my room or near me, she's like ""stop overreacting"". I'm the only one in my family that doesn't smoke and I'm thankful I didn't get peer pressured into smoking when I was still in school",youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Expresses frustration and annoyance about secondhand smoke and family dismissal.,deepseek_v4pro_ai_labeling
anger_brand_crisis_more,anger_brand_crisis,WEw-GjTriIo,https://www.youtube.com/watch?v=WEw-GjTriIo,175,Jeez what is this airline,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Expresses frustration and disapproval towards the airline.,deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,Ket5RWHg9IU,https://www.youtube.com/watch?v=Ket5RWHg9IU,7,The ad still made me cry even though it is fake :(,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,Expresses sadness about crying over a fake ad.,deepseek_v4pro_ai_labeling
movie_trailer_joy,movie_trailer_joy,LEjhY15eCx0,https://www.youtube.com/watch?v=LEjhY15eCx0,68,I'll be honest: one hell of a comeback from Disney. I'm genuinely excited for this movie,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses excitement and positive anticipation for the movie.,deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,uaWA2GbcnJU,https://www.youtube.com/watch?v=uaWA2GbcnJU,18,"I was a terrible, terrible person once in my life. For many years, I was just the worst kind of person. I managed to turn my life around, and now I try to live like this every day. And I'm so much happier in my life.",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses happiness and pride in personal transformation.,deepseek_v4pro_ai_labeling
disgust_food_safety_more,disgust_food_safety,xPGCrRRFWBk,https://www.youtube.com/watch?v=xPGCrRRFWBk,141,"23:30 ""I been on the business since 96"" - but never had time to get certified.😂 (It takes like an hour)",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Amused by the irony of being in business long but not certified, using laughing emoji.",deepseek_v4pro_ai_labeling
sadness_psa,sadness_psa,B2rFTbvwteo,https://www.youtube.com/watch?v=B2rFTbvwteo,41,Holy shit! 🥺 This hit me harder than expected. As a dad of 2 amazing boys........ I immediately lost it when he turned around and looked at his son in the backseat just before the crash. Also doesn’t help that a little over a year ago my brother borrowed my car to take his son out. On their way home they got rear ended by a drunk driver. Police were amazed no one was seriously hurt. Especially because they said she hit them going near 70 miles an hour. The trunk of my car was in the backseat. Thankfully my brother had recently decided his son was old enough and tall enough to sit in the front seat. If he had waited even a little longer......... 😖 I don’t want to think about that. Thankfully they’re ok.,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,"Personal story about near-tragedy with family, evokes deep sadness and relief.",deepseek_v4pro_ai_labeling
disgust_brand_backlash,disgust_brand_backlash,zFm9FRxi0ZM,https://www.youtube.com/watch?v=zFm9FRxi0ZM,72,pepsi's intent was to make it a 'controversy'...controversy sells...they've done it before...this isn't new...they'll do it again...i'm not buying pepsi solely based on this ad eg: michael jackson and madonna had pepsi 'controversies'...tho' why they used that jenner chick this time around is beyond me...this is the first time i've seen her in action...yuck...i turned off the tv in the 80's and gave it away in the '90's because i no longer wished to see how stupid the powers that be think we are...you can keep your subliminal messages to yourselves,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Expresses strong disapproval and disgust towards Pepsi's ad strategy and Jenner.,deepseek_v4pro_ai_labeling
tech_review_mixed,tech_review_mixed,XkXbkxtBlwY,https://www.youtube.com/watch?v=XkXbkxtBlwY,113,"Please support this question and let's get an answer. Why today, when we have both 120fps video and 8k video, etc., you test and show the video in 30fps? Let it stay 4k 30fps test, and it's not a problem because of the tests of old phones and review. But please and appeal to everyone on the channel to support this question to include the 4k 60fps test. Because I believe that it has become the standard today and that anyone who cares about quality video shoots in this mode. Pozzz",youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Constructive feedback requesting 4k 60fps test, polite tone, no strong emotion.",deepseek_v4pro_ai_labeling
anger_brand_crisis_more,anger_brand_crisis,9LhTJDkVXvg,https://www.youtube.com/watch?v=9LhTJDkVXvg,12,This is disgusting,youtube_domain_training_comments_8000_unlabeled.csv,disgust,negative,Expresses strong revulsion or disapproval.,deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,Ket5RWHg9IU,https://www.youtube.com/watch?v=Ket5RWHg9IU,39,This is not a fake story the Lorreta story is based on a 85 year old man who lost his loved one who’s name was not lorreta but I was simmaler,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,Factual correction without strong emotional tone.,deepseek_v4pro_ai_labeling
brand_crisis_negative,brand_crisis_negative,JVxCp22WatU,https://www.youtube.com/watch?v=JVxCp22WatU,92,Thats a lead supervisor disgusting,youtube_domain_training_comments_8000_unlabeled.csv,disgust,negative,Expresses disgust towards a supervisor.,deepseek_v4pro_ai_labeling
anger_brand_crisis_more,anger_brand_crisis,WEw-GjTriIo,https://www.youtube.com/watch?v=WEw-GjTriIo,11,Q : Who Over-Booked the flight? United Airlines. Q: Who mistake was it ? United Airlines Q Who dragged the person off plane? United Airlines. Q: Who's the culprit here? United Airlines. Who should Apologize for the mess? The passenger or the Airline??,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Repeated rhetorical questions blaming United Airlines indicate frustration and anger.,deepseek_v4pro_ai_labeling
anger_customer_service,anger_customer_service,MUo3n8QSQLE,https://www.youtube.com/watch?v=MUo3n8QSQLE,148,Didn’t they have another big outage early 2025 or late 2024? 😂,youtube_domain_training_comments_8000_unlabeled.csv,joy,neutral,"Laughter emoji suggests amusement, but question is factual.",deepseek_v4pro_ai_labeling
brand_campaign_positive,brand_campaign_positive,ijTwZNUBhcI,https://www.youtube.com/watch?v=ijTwZNUBhcI,56,"@CocoaLuv22 not neccasarilly, I mean the canucks beat the plackhawcks, but the blackhawks beat the excat same canucks team, shouldn't one team have gone 4-0?",youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Analytical comment about hockey team performance, no strong emotion.",deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,O15dxrBNuAQ,https://www.youtube.com/watch?v=O15dxrBNuAQ,115,"I'm not crying, sometimes when I get sad, water comes out of my eyes.",youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,Denial of crying but admits sadness and tears.,deepseek_v4pro_ai_labeling
disgust_food_safety_more,disgust_food_safety,zBXAJV82744,https://www.youtube.com/watch?v=zBXAJV82744,26,Foods class brought me here.,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,Informational statement about being in foods class.,deepseek_v4pro_ai_labeling
surprise_product_fail_more,surprise_product_fail,_Cd2WIxKRDk,https://www.youtube.com/watch?v=_Cd2WIxKRDk,147,good video as always that clickbaity title though,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Compliment on video quality, mild criticism on title.",deepseek_v4pro_ai_labeling
fear_health_warning,fear_health_warning,5zWB4dLYChM,https://www.youtube.com/watch?v=5zWB4dLYChM,119,R.I.P. Terrie 1960-2013,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,"Mourning the death of a person, expressing grief.",deepseek_v4pro_ai_labeling
fear_health_warning_more,fear_health_warning,IJlIcK-gbLE,https://www.youtube.com/watch?v=IJlIcK-gbLE,179,"The first vape I tried was in 2003 it was shipped to us from China will it's 2024 and I still vape, before vaping I smoke 2-3 packs of cigarettes aday after I started vaping I can till you I feel better now. Into make I own with out nicotine and non flavored.",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Expresses satisfaction with vaping over smoking, feeling better.",deepseek_v4pro_ai_labeling
fear_health_warning,fear_health_warning,5zWB4dLYChM,https://www.youtube.com/watch?v=5zWB4dLYChM,60,"God bless her, she was a kind positive woman! RIP, Terri!",youtube_domain_training_comments_8000_unlabeled.csv,sadness,positive,Expresses sadness over loss but positive regard for the person.,deepseek_v4pro_ai_labeling
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,124,Holy visuals 😱🤯,youtube_domain_training_comments_8000_unlabeled.csv,surprise,positive,Expresses awe and amazement at visuals with emojis.,deepseek_v4pro_ai_labeling
automotive_controversy,automotive_controversy,ro262oyhZAI,https://www.youtube.com/watch?v=ro262oyhZAI,6,I am so glad I drive a 1995 and 1996 Lincoln Town Cars,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses happiness and pride about owning classic cars.,deepseek_v4pro_ai_labeling
tech_brand_story,tech_brand_story,nnsSUqgkDwU,https://www.youtube.com/watch?v=nnsSUqgkDwU,97,i find this the cutest comercial ever!!,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses strong positive feeling about the commercial.,deepseek_v4pro_ai_labeling
movie_trailer_joy,movie_trailer_joy,LEjhY15eCx0,https://www.youtube.com/watch?v=LEjhY15eCx0,84,Eu já assisti esse filme vocês estão esquecendo de fazer uma coisa tem que fazer divertidamente 3 ainda já faz muito anos,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Comment states a fact about needing a third movie, no strong emotion.",deepseek_v4pro_ai_labeling
anger_brand_crisis,anger_brand_crisis,VrDWY6C1178,https://www.youtube.com/watch?v=VrDWY6C1178,10,United Airlines: The beatings will continue until the seating improves.,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Sarcastic criticism of United Airlines' poor seating and service.,deepseek_v4pro_ai_labeling
anger_customer_service_more,anger_customer_service,T8ClHGY08jc,https://www.youtube.com/watch?v=T8ClHGY08jc,230,verizon just dirty scammers,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Accuses Verizon of being dirty scammers, expressing strong disapproval.",deepseek_v4pro_ai_labeling
brand_crisis_negative,brand_crisis_negative,JVxCp22WatU,https://www.youtube.com/watch?v=JVxCp22WatU,66,Can't even put together a title without fucking it up lol,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Frustration and criticism expressed with profanity and sarcastic 'lol'.,deepseek_v4pro_ai_labeling
surprise_product_fail_more,surprise_product_fail,pAqQ_ANAmrk,https://www.youtube.com/watch?v=pAqQ_ANAmrk,25,Great video Jeremy! Check out ricky the android guy video on this topic as well. He makes an interesting argument.,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Complimenting the video and recommending another creator.,deepseek_v4pro_ai_labeling
fast_food_brand_launch,fast_food_brand_launch,chYLHu0w8z0,https://www.youtube.com/watch?v=chYLHu0w8z0,80,"0:00 One Grimace : Hey everybody, it’s me! The Grimace! I hope you’re enjoying the all new Grimace Shake! Let’s have a taste! (slurp) Mmmm- 0:08 The other Grimace : *(inaudible) YOU CAN’T DO THIS TO ME! NO! NO I DIDN’T DO THAT! I DIDN’T DO ANY OF THAT! MY KIDS CAN’T GROW UP WITHOUT A FATHER NOW! YOU DON’T UNDERSTAND! I’M INNOCENT! (X2) I CAN’T DO IT! I- AAAAAAAAAAAAAAAA*",youtube_domain_training_comments_8000_unlabeled.csv,fear,negative,"The comment describes a panicked, fearful plea of innocence and distress.",deepseek_v4pro_ai_labeling
tech_brand_story,tech_brand_story,nnsSUqgkDwU,https://www.youtube.com/watch?v=nnsSUqgkDwU,54,what the heck? why did i just have goosebumps while watching this (and also almost teared up),youtube_domain_training_comments_8000_unlabeled.csv,surprise,positive,Goosebumps and tearing up indicate strong emotional impact.,deepseek_v4pro_ai_labeling
brand_campaign_positive,brand_campaign_positive,ijTwZNUBhcI,https://www.youtube.com/watch?v=ijTwZNUBhcI,90,"Explosions in the Sky - First Breath After Coma great band, great song. their whole album is amazing, it's called The Earth Is Not A Cold Dead Place. They are an instrumental band, no vocals. But awesome.",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses strong admiration and enthusiasm for the band and album.,deepseek_v4pro_ai_labeling
disgust_brand_crisis_more,brand_crisis_negative,kQg2LMmpPn8,https://www.youtube.com/watch?v=kQg2LMmpPn8,62,you have to line up the cheese youngster and you gotta be careful because since all the pharmacies are closing because of crime they’re attacking the fast food chains for their frozen patties and french fries and meats get a hold of those boxes you can feed the whole family for quite a long time,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Informational comment about survival tactics, no strong emotion.",deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,uaWA2GbcnJU,https://www.youtube.com/watch?v=uaWA2GbcnJU,202,I am from Vietnam I really like your action ... I love the honest Thai people!,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses liking and love for the content and Thai people.,deepseek_v4pro_ai_labeling
disgust_food_safety_more,disgust_food_safety,dhBxrfETXJA,https://www.youtube.com/watch?v=dhBxrfETXJA,135,preping food on the sidewalk is normal in China. That's why he was doing it.,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Factual observation about cultural practice, no strong emotion detected.",deepseek_v4pro_ai_labeling
anger_brand_crisis_more,anger_brand_crisis,yJTaGf5zURQ,https://www.youtube.com/watch?v=yJTaGf5zURQ,57,Cheap flights for the next month or so,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Informational statement about flight deals, no emotional tone.",deepseek_v4pro_ai_labeling
anger_brand_backlash,disgust_brand_backlash,KxAf8ZJvUPo,https://www.youtube.com/watch?v=KxAf8ZJvUPo,114,"This commercial is completely offensive and anyone who doesn't see that has a issue. Imagine this: Kendall Jenner doing a photo shoot in Nazi Germany and stops the shoot to run away from German soldiers along side hundreds of Jews and while she's running she sees Hitler. So she hands Hitler a Pepsi and he smiles and has his men shoot everyone standing. Would you still believe this commercial was entertainment uplifting and empowering? Would you be commenting on here saying ""Jews these days are such cry babies"" like I read a man say in another comment? I don't think so #staywoke",youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Strongly criticizes the commercial with a provocative analogy, expressing outrage.",deepseek_v4pro_ai_labeling
app_brand_campaign,app_brand_campaign,Ew4kM1FmM8o,https://www.youtube.com/watch?v=Ew4kM1FmM8o,88,WE WANT THIS AS A SERIES DUO,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses excitement and desire for more content.,deepseek_v4pro_ai_labeling
