model_name,resolved_source,remote_sha,last_modified,model_stage,task,load_seconds
j-hartmann/emotion-english-distilroberta-base,j-hartmann/emotion-english-distilroberta-base,0e1cd914e3d46199ed785853e12b57304e04178b,2023-01-02 13:03:10+00:00,pre-tuning public baseline,7-emotion,1.2832
chase1zhang/youtube-emotion-distilbert,/Users/owlzhang/.cache/huggingface/hub/models--chase1zhang--youtube-emotion-distilbert/snapshots/6492159b815fa5b59d9e234d3d444bedcf36d71c,6492159b815fa5b59d9e234d3d444bedcf36d71c,2026-05-28 06:54:35+00:00,GoEmotions fine-tuned DistilBERT,7-emotion,0.1162
chase1zhang/youtube-emotion-distilbert-domain-adapted,/Users/owlzhang/.cache/huggingface/hub/models--chase1zhang--youtube-emotion-distilbert-domain-adapted/snapshots/d4278dcc63043803465cc5d6904a19fafcb18ca2,d4278dcc63043803465cc5d6904a19fafcb18ca2,2026-05-28 07:09:51+00:00,YouTube-domain adapted DistilBERT,7-emotion,0.0704
SamLowe/roberta-base-go_emotions,SamLowe/roberta-base-go_emotions,d75048347613a25d77de8cf6412eaae9fa7b26be,2026-05-13 18:23:34+00:00,public GoEmotions RoBERTa,7-emotion,0.8872
j-hartmann/emotion-english-roberta-large,j-hartmann/emotion-english-roberta-large,ab319b8cfc7ca91478e74bce639ed8b8e0927d0c,2021-08-29 11:48:09+00:00,public RoBERTa-large seven-emotion,7-emotion,1.332
chase1zhang/youtube-emotion-samlowe-roberta-domain-adapted,/Users/owlzhang/.cache/huggingface/hub/models--chase1zhang--youtube-emotion-samlowe-roberta-domain-adapted/snapshots/8c53353e6008372aaea49db4b563d5d3568923ab,8c53353e6008372aaea49db4b563d5d3568923ab,2026-05-28 07:13:01+00:00,YouTube-domain adapted RoBERTa,7-emotion,0.1462
chase1zhang/youtube-emotion-jhartmann-distilroberta-domain-adapted,/Users/owlzhang/.cache/huggingface/hub/models--chase1zhang--youtube-emotion-jhartmann-distilroberta-domain-adapted/snapshots/eccf16470b14880937f6361c32062bb63d6d444b,eccf16470b14880937f6361c32062bb63d6d444b,2026-05-28 07:15:00+00:00,YouTube-domain adapted DistilRoBERTa,7-emotion,0.1088
cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp/twitter-roberta-base-sentiment-latest,3216a57f2a0d9c45a2e6c20157c20c49fb4bf9c7,2025-08-04 07:58:29+00:00,supporting sentiment pipeline,3-sentiment,1.1145
lxyuan/distilbert-base-multilingual-cased-sentiments-student,lxyuan/distilbert-base-multilingual-cased-sentiments-student,cf991100d706c13c0a080c097134c05b7f436c45,2025-03-03 02:06:53+00:00,alternative sentiment model 1,3-sentiment,1.2043
finiteautomata/bertweet-base-sentiment-analysis,finiteautomata/bertweet-base-sentiment-analysis,924fc4c80bccb8003d21fe84dd92c7887717f245,2023-02-17 02:17:31+00:00,alternative sentiment model 2,3-sentiment,1.412
