text,label,label_id,sentiment,video_short,video,comment_index,label_notes
"Wow! This should be shown in the US, too.",surprise,6,neutral,sadness_psa,https://www.youtube.com/watch?v=B2rFTbvwteo,7,surprise cue
@GSMArena Official - When can we expect the S25 and S25+ test results to be available on the website?,neutral,4,neutral,tech_review_mixed,https://www.youtube.com/watch?v=XkXbkxtBlwY,27,no dominant affective cue
How to file for divorce,neutral,4,neutral,tech_brand_story,https://www.youtube.com/watch?v=nnsSUqgkDwU,37,no dominant affective cue
The art of thinking clearly.,neutral,4,neutral,tech_brand_story,https://www.youtube.com/watch?v=nnsSUqgkDwU,76,no dominant affective cue
"This trailer was a year ago, doesn’t feel like it.",neutral,4,neutral,entertainment_fandom,https://www.youtube.com/watch?v=TcMBFSGVi1c,15,no dominant affective cue
"OK, the cinematography, the costume design, THE POOL SCENE and especially Jenny Ortega look incredible. This is going to be great.",joy,3,positive,streaming_trailer_reaction,https://www.youtube.com/watch?v=Di310WS8zLk,14,positive appreciation or humor cue
Damn that intro,neutral,4,neutral,tech_product_launch,https://www.youtube.com/watch?v=n6pqGoXWZzo,35,no dominant affective cue
"@1:14 This fall's class of eighth graders at the I Promise School hasn't had a single student pass the state's math test since the group was in the third grade. ""Not one? In three years?"" Akron Public Schools board member Valerie McKitrick asked after that data point was presented to the board earlier this week. ""It is discouraging,"" responded Keith Liechty-Clifford, the district's director of school improvement. @1:43 World No. 203 Karsten Braasch begs to differ…",neutral,4,neutral,sports_brand_purpose,https://www.youtube.com/watch?v=jBnseji3tBk,59,no dominant affective cue
"Yep, they went there 😂 Best commercial ever! 😆😆😆",joy,3,positive,sadness_brand_story,https://www.youtube.com/watch?v=YvYGO4o334I,55,positive appreciation or humor cue
who is thils old boring guy?,neutral,4,neutral,disgust_brand_backlash,https://www.youtube.com/watch?v=zFm9FRxi0ZM,70,no dominant affective cue
Me: Hey dad there's a new- Dad: No,neutral,4,neutral,gaming_product_launch,https://www.youtube.com/watch?v=RkC0l4iekYo,19,no dominant affective cue
