video,video_short,comment_index,comment,manual_7_emotion,manual_3_sentiment,pretrained_7_emotion,finetuned_7_emotion,sentiment_pipeline_3,pretrained_7_match,finetuned_7_match,sentiment_3_match,domain_adapted_7_emotion,domain_adapted_7_match,previous_manual_7_emotion,previous_manual_3_sentiment,manual_label_changed,manual_review_note,manual_review_source,pretrained_7_score,finetuned_7_score,domain_adapted_7_score,samlowe_roberta_7_emotion,samlowe_roberta_7_score,samlowe_roberta_7_match,jhartmann_roberta_large_7_emotion,jhartmann_roberta_large_7_score,jhartmann_roberta_large_7_match,sentiment_pipeline_3_score,samlowe_roberta_adapted_7_emotion,samlowe_roberta_adapted_7_score,samlowe_roberta_adapted_7_match,jhartmann_distilroberta_adapted_7_emotion,jhartmann_distilroberta_adapted_7_score,jhartmann_distilroberta_adapted_7_match,lxyuan_sentiment_3,lxyuan_sentiment_3_score,lxyuan_sentiment_3_match,bertweet_sentiment_3,bertweet_sentiment_3_score,bertweet_sentiment_3_match
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,1,Learn more: Why Rare Earths Are China’s Trump Card in Trade War - https://bloom.bg/4nG7F63,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.7637,0.992,0.8619,neutral,0.8639,Yes,neutral,0.7532,Yes,0.8981,neutral,0.9821,Yes,surprise,0.8931,No,positive,0.497,No,neu,0.9122,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,2,Funny how they complain they cannot bully China,anger,negative,neutral,joy,negative,No,No,Yes,joy,No,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.3571,0.7145,0.9067,joy,0.7937,No,anger,0.3018,Yes,0.5937,anger,0.9856,Yes,neutral,0.3618,No,negative,0.4035,Yes,neg,0.733,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,3,"Remember the US restricted sale of semiconductors to China, they responded by restricting sale of rare earth materials to the US. In the old days western countries dominated world trade, now that has shifted to Asia. The western powers must accept one thing, you can't dominate the world forever.",anger,negative,neutral,neutral,neutral,No,No,No,neutral,No,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.6278,0.9938,0.9368,neutral,0.5912,No,neutral,0.6768,No,0.6248,neutral,0.9746,No,neutral,0.8136,No,negative,0.4228,Yes,neu,0.8106,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,4,China is only using rare earth as geopolitical leverage in response to US using its dominance in semiconductor as geopolitical leverage.,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.9097,0.9936,0.9768,neutral,0.9322,Yes,neutral,0.7777,Yes,0.7369,neutral,0.9865,Yes,neutral,0.8904,Yes,positive,0.3908,No,neu,0.8834,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,5,China never used it as geopolitical leverage until it had to.,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.9306,0.9934,0.9404,neutral,0.8851,Yes,neutral,0.6394,Yes,0.6133,neutral,0.9856,Yes,neutral,0.8846,Yes,neutral,0.3924,Yes,neu,0.698,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,6,You can restrict semiconductors and chips to China but China can't hold rare earth material,anger,negative,neutral,neutral,neutral,No,No,No,neutral,No,neutral,neutral,Yes,rhetorical criticism about policy double standard,assistant_manual_review_2026-05-27,0.9375,0.9936,0.9653,neutral,0.7272,No,neutral,0.9032,No,0.5127,neutral,0.9852,No,neutral,0.9415,No,neutral,0.3864,No,neu,0.5917,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,7,Maybe not using your precious Rare earth on weapons. 😂,anger,negative,neutral,neutral,negative,No,No,Yes,neutral,No,neutral,neutral,Yes,sarcastic criticism of weapon use,assistant_manual_review_2026-05-27,0.8235,0.9941,0.6263,neutral,0.4415,No,neutral,0.688,No,0.5499,joy,0.9877,No,joy,0.9605,No,negative,0.3733,Yes,neu,0.5445,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,8,"I remember learning in school back around 2000 that we in China had the rare earth deposits but our refining capability was so poor we could only export raw ore to countries like Japan, making a tiny profit in the whole value chain. Now watching this video i feel proud of my country and our people. We don't need to argue with others. Just do our job, improvise everyday and enjoy our lives. We dont need to envy or be afraid of the bullies.",joy,positive,joy,joy,neutral,Yes,Yes,No,fear,No,sadness,negative,Yes,dominant emotion is pride and positive national progress,assistant_manual_review_2026-05-27,0.9795,0.9307,0.9071,joy,0.2701,Yes,fear,0.4035,No,0.4598,fear,0.974,No,fear,0.8907,No,positive,0.5281,Yes,pos,0.903,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,9,"There is nothing rare about ""rare"" earths. Its the processing plants that are rare.",neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8214,0.9819,0.8722,neutral,0.8046,Yes,neutral,0.6947,Yes,0.617,neutral,0.9289,Yes,disgust,0.6282,No,neutral,0.5213,Yes,neu,0.8254,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,10,"US is always the one that starting the trouble, China just reacting. this REM case show that many times US start something without thinking everything. like so many other cases. when you started it, don't blame others for reacting.",anger,negative,neutral,neutral,negative,No,No,Yes,anger,Yes,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.3705,0.9808,0.819,neutral,0.659,No,anger,0.6423,Yes,0.7491,anger,0.9706,Yes,anger,0.8983,Yes,negative,0.5277,Yes,neg,0.8157,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,11,"BRAZIL is a BRICKS member and US imposed 50% on this country, there's no way the second largest REE country will align with US to solve this crisis.",neutral,neutral,neutral,neutral,negative,Yes,Yes,No,anger,No,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.7214,0.9764,0.6719,neutral,0.5555,Yes,anger,0.4858,No,0.9263,anger,0.9851,No,anger,0.7471,No,negative,0.4066,No,neg,0.963,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,12,"As usual, the narrative is: American hegemony = good Anything else = bad",anger,negative,neutral,neutral,negative,No,No,Yes,joy,No,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8006,0.9904,0.7673,neutral,0.7165,No,disgust,0.3178,No,0.5936,joy,0.9776,No,joy,0.7375,No,positive,0.5381,No,neg,0.5286,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,13,35000 lawyers 350 mining engineers.,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8217,0.9929,0.8892,neutral,0.9663,Yes,neutral,0.7971,Yes,0.8526,neutral,0.9571,Yes,neutral,0.6017,Yes,positive,0.4887,No,neu,0.9608,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,14,"Don't start war with China, then no rare earth problem",neutral,neutral,neutral,neutral,negative,Yes,Yes,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.492,0.9818,0.6241,disgust,0.4914,No,anger,0.441,No,0.6254,neutral,0.9765,Yes,neutral,0.7619,Yes,neutral,0.58,Yes,neg,0.6585,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,15,"Did they forget how they did to Huawei and some other companies back in 2018? And now still blocking China to get latest chips. So this means only US can accuse others and sanction others, others can’t fight back, if you fight back, I will do the strongest condemn logic? Karma is a bitch, isn’t it? 😊",anger,negative,anger,anger,negative,Yes,Yes,Yes,anger,Yes,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8343,0.8346,0.9427,neutral,0.4073,No,anger,0.7262,Yes,0.8004,anger,0.9441,Yes,anger,0.9597,Yes,negative,0.7222,Yes,neg,0.9391,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,16,"“We want a lot of rocks, I’m gathering rocks to stack them on top of each other”",neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8831,0.9948,0.9795,neutral,0.8783,Yes,neutral,0.9547,Yes,0.722,neutral,0.984,Yes,neutral,0.965,Yes,positive,0.529,No,neu,0.7032,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,17,They are talking about China like if they are aliens from different planet!!,joy,positive,disgust,neutral,negative,No,No,No,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.3782,0.9877,0.9331,neutral,0.9444,No,neutral,0.4487,No,0.5983,neutral,0.964,No,neutral,0.811,No,negative,0.545,No,neg,0.83,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,18,Very well done video. Those animations - hats off 👍,joy,positive,joy,neutral,positive,Yes,No,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.7117,0.9857,0.9553,joy,0.9683,Yes,joy,0.8386,Yes,0.9779,joy,0.9899,Yes,joy,0.968,Yes,positive,0.7726,Yes,pos,0.99,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,19,What do you mean running an economy based on economic derivatives leaves you vulnerable to foreign commodity spikes when you don't actually make anything? /s,anger,negative,fear,neutral,negative,No,No,Yes,neutral,No,neutral,neutral,Yes,sarcastic criticism of economic vulnerability,assistant_manual_review_2026-05-27,0.4757,0.9824,0.7914,neutral,0.5672,No,surprise,0.4448,No,0.6454,neutral,0.9569,No,neutral,0.522,No,negative,0.7184,Yes,neg,0.8862,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,20,that thumbnail is so catchy so you click instantly,neutral,neutral,joy,neutral,positive,No,Yes,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.718,0.9894,0.9556,joy,0.5329,No,joy,0.767,No,0.9731,neutral,0.9729,Yes,joy,0.7478,No,positive,0.5066,No,pos,0.9334,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,21,Why is it that I've never heard anyone voice any concerns about relying too much on the US or the EU?,neutral,neutral,neutral,neutral,negative,Yes,Yes,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.4768,0.9721,0.7841,neutral,0.4699,Yes,surprise,0.5404,No,0.5882,neutral,0.9223,Yes,fear,0.4151,No,negative,0.4532,No,neg,0.6859,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,22,Can we get a video on shipbuilding on Bloomberg Primer?,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8175,0.995,0.9892,neutral,0.6398,Yes,neutral,0.9014,Yes,0.9169,neutral,0.9844,Yes,neutral,0.9702,Yes,negative,0.3893,No,neu,0.9405,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,23,US: Launches a trade war China: Fights back US: *Surprised Pikachu face*,surprise,neutral,surprise,surprise,negative,Yes,Yes,No,surprise,Yes,surprise,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.9372,0.9185,0.979,neutral,0.66,No,surprise,0.9388,Yes,0.6706,surprise,0.9666,Yes,surprise,0.912,Yes,positive,0.6539,No,neu,0.9015,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,24,Thanks for the information,joy,positive,neutral,neutral,positive,No,No,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.6221,0.9788,0.9229,joy,0.9895,Yes,neutral,0.6673,No,0.7741,joy,0.9719,Yes,joy,0.7812,Yes,positive,0.9635,Yes,pos,0.8206,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,25,The big problem was the West and US did not do anything about it until they realise too late. China have been buying and processing rare earth for like 20 years. China have long term plans. Now it’s too late for the West to catch up as it takes a decade to develop the processing of rare earths,neutral,neutral,neutral,neutral,negative,Yes,Yes,No,neutral,Yes,joy,positive,Yes,"mostly factual strategic analysis, not clear praise",assistant_manual_review_2026-05-27,0.7934,0.9713,0.7817,neutral,0.5771,Yes,neutral,0.748,Yes,0.7293,neutral,0.9804,Yes,neutral,0.768,Yes,negative,0.6397,No,neg,0.7992,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,26,It’s hella funny when the bully gets bullied 😂😂,joy,positive,joy,joy,neutral,Yes,Yes,No,anger,No,anger,negative,Yes,dominant cue is amusement/laughter,assistant_manual_review_2026-05-27,0.6851,0.7655,0.5846,joy,0.9129,Yes,joy,0.7498,Yes,0.3937,joy,0.9417,Yes,joy,0.9504,Yes,negative,0.4665,No,neu,0.6032,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,27,"He said ""hold all the chips"" 😂😂😂",joy,positive,neutral,neutral,neutral,No,No,No,joy,Yes,neutral,neutral,Yes,laughing at wordplay,assistant_manual_review_2026-05-27,0.8332,0.9954,0.6323,neutral,0.4893,No,anger,0.4351,No,0.7013,joy,0.9843,Yes,joy,0.9614,Yes,positive,0.4328,Yes,neu,0.9667,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,28,"Knowledge, skill, industrial muscle, AND security",neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.9491,0.9931,0.9408,neutral,0.9636,Yes,neutral,0.7117,Yes,0.6201,neutral,0.9721,Yes,neutral,0.9198,Yes,positive,0.7477,No,neu,0.5732,No
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,29,Great video,joy,positive,joy,neutral,positive,Yes,No,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8745,0.9421,0.9783,joy,0.9513,Yes,joy,0.8965,Yes,0.9427,joy,0.9896,Yes,joy,0.9849,Yes,positive,0.5673,Yes,pos,0.9847,No
